s1 167 168 2.697 ebov=0.221,sudv=0.107,marv=0.106
s1 168 169 0.787 ebov=0.124,sudv=0.117,marv=0.107
s1 169 170 0.496 ebov=0.405,sudv=0.24,marv=0.111
s1 170 171 0.423 ebov=0.158,sudv=0.126,marv=0.096
s1 171 172 3.639 ebov=0.137,sudv=0.096,marv=0.096
s1 172 173 0.212 ebov=0.105,sudv=0.098,marv=0.095
s1 173 174 3.637 ebov=0.441,sudv=0.094,marv=0.096
s1 174 175 0.397 ebov=0.803,sudv=0.656,marv=0.217
s1 175 176 2.284 ebov=0.494,sudv=0.627,marv=0.5
s1 176 177 3.504 ebov=0.479,sudv=0.172,marv=0.163
s1 177 178 2.778 ebov=3.4,sudv=0.251,marv=0.1
s1 178 179 2.435 ebov=0.359,sudv=0.106,marv=0.096
s1 179 180 3.63  ebov=3.491,sudv=0.103,marv=0.099
s1 180 181 0.968 ebov=0.748,sudv=0.225,marv=0.164
s1 181 182 1.936 ebov=0.39,sudv=0.182,marv=0.102
s1 182 183 0.757 ebov=0.146,sudv=0.108,marv=0.1
s1 183 184 3.656 ebov=0.399,sudv=0.155,marv=0.101
s1 184 185 1.544 ebov=0.113,sudv=0.132,marv=0.106
s1 185 186 3.601 ebov=0.176,sudv=0.107,marv=0.111
s1 186 187 2.715 ebov=0.14,sudv=0.108,marv=0.105
s1 187 188 2.425 ebov=0.163,sudv=0.12,marv=0.101
s1 188 189 3.262 ebov=0.422,sudv=0.155,marv=0.102
s1 189 190 0.456 ebov=0.388,sudv=0.146,marv=0.126
s1 190 191 3.404 ebov=0.285,sudv=0.11,marv=0.105
s1 191 192 0.224 ebov=0.311,sudv=0.11,marv=0.105
s1 192 193 0.226 ebov=0.154,sudv=0.123,marv=0.105
s1 193 194 0.312 ebov=0.144,sudv=0.135,marv=0.128
s1 194 195 3.473 ebov=0.154,sudv=0.102,marv=0.103
s1 195 196 3.473 ebov=1.768,sudv=3.473,marv=0.098
s1 196 197 0.391 ebov=0.214,sudv=0.118,marv=0.097
s1 197 198 3.504 ebov=0.415,sudv=0.1,marv=0.1
s1 198 199 0.771 ebov=0.126,sudv=0.106,marv=0.105
s1 199 200 3.516 ebov=0.334,sudv=0.111,marv=0.113
s1 200 201 3.356 ebov=1.326,sudv=1.708,marv=0.111
s1 201 202 3.467 ebov=0.536,sudv=0.112,marv=0.105
s1 202 203 2.437 ebov=2.476,sudv=2.371,marv=0.101
s1 203 204 3.517 ebov=2.617,sudv=3.479,marv=2.973
s1 204 205 3.503 ebov=0.236,sudv=0.127,marv=0.119
s1 205 206 0.816 ebov=0.582,sudv=0.108,marv=0.102
s1 206 207 3.466 ebov=3.451,sudv=1.953,marv=0.16
s1 207 208 2.1   ebov=0.35,sudv=0.188,marv=0.096
s1 208 209 1.731 ebov=0.826,sudv=0.341,marv=0.102
s1 209 210 3.481 ebov=0.19,sudv=0.115,marv=0.112
s1 210 211 3.478 ebov=1.827,sudv=0.11,marv=0.111
s1 211 212 2.68  ebov=0.144,sudv=0.112,marv=0.103
s1 212 213 3.46  ebov=0.841,sudv=0.219,marv=0.105
s1 213 214 3.105 ebov=3.307,sudv=2.304,marv=0.104
s1 214 215 0.543 ebov=0.534,sudv=0.181,marv=0.106
s1 215 216 0.47  ebov=0.118,sudv=0.107,marv=0.103
s1 216 217 3.396 ebov=0.378,sudv=0.15,marv=0.135
s1 217 218 3.464 ebov=1.327,sudv=0.278,marv=0.142
s1 218 219 0.297 ebov=0.102,sudv=0.096,marv=0.097
s1 219 220 0.252 ebov=0.252,sudv=0.104,marv=0.095
s1 220 221 3.497 ebov=0.925,sudv=0.438,marv=0.141
s1 221 222 1.43  ebov=0.716,sudv=0.248,marv=0.1
s1 222 223 3.549 ebov=0.226,sudv=0.139,marv=0.1
s1 223 224 3.492 ebov=0.345,sudv=0.305,marv=0.101
s1 224 225 2.204 ebov=3.009,sudv=1.175,marv=0.106
s1 225 226 3.485 ebov=3.487,sudv=0.558,marv=0.097
s1 226 227 3.126 ebov=0.105,sudv=0.099,marv=0.096
s1 227 228 3.355 ebov=0.198,sudv=0.096,marv=0.099
s1 228 229 3.469 ebov=0.148,sudv=0.135,marv=0.11
s1 229 230 2.648 ebov=0.21,sudv=0.129,marv=0.109
s1 230 231 2.949 ebov=2.968,sudv=1.17,marv=0.116
s1 231 232 3.046 ebov=0.629,sudv=0.221,marv=0.099
s1 232 233 3.266 ebov=0.643,sudv=0.378,marv=0.107
s1 233 234 0.419 ebov=0.166,sudv=0.316,marv=0.141
s1 234 235 3.367 ebov=0.548,sudv=0.113,marv=0.107
s1 235 236 1.617 ebov=2.319,sudv=0.116,marv=0.1
s1 236 237 2.447 ebov=0.532,sudv=0.194,marv=0.178
s1 237 238 3.47  ebov=1.106,sudv=0.115,marv=0.104
s1 238 239 2.388 ebov=0.518,sudv=0.128,marv=0.102
s1 239 240 3.471 ebov=2.572,sudv=0.15,marv=0.104
s1 240 241 3.294 ebov=0.381,sudv=0.139,marv=0.11
s1 241 242 3.319 ebov=3.347,sudv=0.18,marv=0.102
s1 242 243 0.574 ebov=0.484,sudv=0.098,marv=0.096
s1 243 244 0.442 ebov=0.169,sudv=0.118,marv=0.096
s1 244 245 0.401 ebov=0.557,sudv=0.14,marv=0.099
s1 245 246 3.419 ebov=3.103,sudv=0.211,marv=0.112
s1 246 247 0.166 ebov=0.111,sudv=0.108,marv=0.107
s1 247 248 2.585 ebov=1.193,sudv=0.277,marv=0.105
s1 248 249 3.326 ebov=0.208,sudv=0.118,marv=0.112
s1 249 250 1.487 ebov=0.404,sudv=0.125,marv=0.102
s1 250 251 0.338 ebov=1.274,sudv=0.174,marv=0.105
s1 251 252 3.471 ebov=0.201,sudv=0.113,marv=0.098
s1 252 253 3.395 ebov=0.247,sudv=0.117,marv=0.111
s1 253 254 0.679 ebov=0.234,sudv=0.131,marv=0.107
s1 254 255 2.211 ebov=3.272,sudv=2.757,marv=0.1
s1 255 256 3.406 ebov=3.417,sudv=0.753,marv=0.1
s1 256 257 0.726 ebov=0.238,sudv=0.132,marv=0.115
s1 257 258 3.409 ebov=3.36,sudv=0.169,marv=0.111
s1 258 259 3.353 ebov=0.602,sudv=0.119,marv=0.111
s1 259 260 3.314 ebov=0.468,sudv=0.109,marv=0.101
s1 260 261 3.108 ebov=3.299,sudv=3.272,marv=0.105
s1 261 262 1.716 ebov=0.207,sudv=0.169,marv=0.113
s1 262 263 2.676 ebov=0.209,sudv=0.122,marv=0.11
s1 263 264 0.137 ebov=0.108,sudv=0.106,marv=0.104
s1 264 265 2.966 ebov=0.268,sudv=0.151,marv=0.111
s1 265 266 0.178 ebov=0.165,sudv=0.117,marv=0.098
s1 266 267 1.127 ebov=0.132,sudv=0.105,marv=0.103
s1 267 268 2.91  ebov=0.223,sudv=0.108,marv=0.096
s1 268 269 0.408 ebov=0.27,sudv=0.136,marv=0.095
s1 269 270 2.636 ebov=0.143,sudv=0.14,marv=0.099
s1 270 271 2.556 ebov=0.974,sudv=0.37,marv=0.119
s1 271 272 1.468 ebov=0.487,sudv=0.232,marv=0.095
s1 272 273 3.359 ebov=1.664,sudv=0.123,marv=0.103
s1 273 274 0.788 ebov=0.173,sudv=0.092,marv=0.097
s1 274 275 3.412 ebov=0.188,sudv=0.142,marv=0.13
s1 275 276 1.093 ebov=0.397,sudv=0.112,marv=0.097
s1 276 277 2.33  ebov=0.286,sudv=0.129,marv=0.101
s1 277 278 3.417 ebov=1.939,sudv=3.152,marv=0.11
s1 278 279 3.358 ebov=0.77,sudv=0.743,marv=0.986
s1 279 280 3.368 ebov=2.035,sudv=0.267,marv=0.125
s1 280 281 1.014 ebov=0.397,sudv=0.449,marv=0.173
s1 281 282 0.121 ebov=0.109,sudv=0.102,marv=0.108
s1 282 283 3.386 ebov=0.13,sudv=0.099,marv=0.103
s1 283 284 3.131 ebov=0.254,sudv=0.134,marv=0.1
s1 284 285 1.296 ebov=0.187,sudv=0.114,marv=0.1
s1 285 286 3.092 ebov=0.193,sudv=0.1,marv=0.102
s1 286 287 1.575 ebov=0.43,sudv=0.103,marv=0.102
s1 287 288 2.214 ebov=0.525,sudv=0.115,marv=0.107
s1 288 289 1.493 ebov=0.357,sudv=0.122,marv=0.112
s1 289 290 3.363 ebov=0.523,sudv=0.12,marv=0.115
s1 290 291 3.403 ebov=2.043,sudv=0.107,marv=0.107
s1 291 292 3.351 ebov=2.422,sudv=0.138,marv=0.104
s1 292 293 3.504 ebov=3.534,sudv=3.495,marv=0.105
s1 293 294 3.437 ebov=2.239,sudv=0.158,marv=0.111
s1 294 295 3.496 ebov=2.448,sudv=0.144,marv=0.112
s1 295 296 3.502 ebov=3.496,sudv=2.686,marv=0.11
s1 296 297 3.51  ebov=0.214,sudv=0.125,marv=0.12
s1 297 298 3.522 ebov=0.504,sudv=0.197,marv=0.113
s1 298 299 0.271 ebov=0.321,sudv=0.112,marv=0.107
s1 299 300 3.536 ebov=0.275,sudv=0.139,marv=0.11
s1 300 301 1.161 ebov=0.163,sudv=0.117,marv=0.111
s1 301 302 3.442 ebov=3.19,sudv=0.403,marv=0.214
s1 302 303 0.705 ebov=0.213,sudv=0.111,marv=0.108
s1 303 304 1.05  ebov=1.001,sudv=0.201,marv=0.106
s1 304 305 1.163 ebov=0.393,sudv=0.354,marv=0.12
s1 305 306 3.508 ebov=2.309,sudv=1.347,marv=0.125
s1 306 307 3.481 ebov=0.189,sudv=0.143,marv=0.117
s1 307 308 3.475 ebov=3.495,sudv=3.257,marv=0.116
s1 308 309 3.449 ebov=0.19,sudv=0.112,marv=0.115
s1 309 310 3.482 ebov=3.444,sudv=3.427,marv=0.12
s1 310 311 3.466 ebov=3.406,sudv=3.431,marv=0.124
s1 311 312 3.424 ebov=0.302,sudv=0.135,marv=0.123
s1 312 313 0.991 ebov=0.621,sudv=0.243,marv=0.137
s1 313 314 0.229 ebov=0.155,sudv=0.108,marv=0.109
s1 314 315 0.372 ebov=0.247,sudv=0.129,marv=0.104
s1 315 316 3.397 ebov=0.204,sudv=0.102,marv=0.102
s1 316 317 3.469 ebov=1.636,sudv=0.168,marv=0.106
s1 317 318 2.461 ebov=3.346,sudv=0.108,marv=0.108
s1 318 319 0.84  ebov=0.458,sudv=0.151,marv=0.102
s1 319 320 0.726 ebov=1.039,sudv=0.104,marv=0.103
s1 320 321 0.182 ebov=0.111,sudv=0.109,marv=0.111
s1 321 322 1.917 ebov=0.566,sudv=0.128,marv=0.105
s1 322 323 2.076 ebov=1.854,sudv=1.371,marv=0.103
s1 323 324 1.603 ebov=0.591,sudv=0.363,marv=0.214
s1 324 325 3.488 ebov=0.254,sudv=0.126,marv=0.108
s1 325 326 1.421 ebov=0.221,sudv=0.125,marv=0.119
s1 326 327 3.445 ebov=2.552,sudv=0.195,marv=0.107
s1 327 328 3.411 ebov=3.163,sudv=0.193,marv=0.107
s1 328 329 3.46  ebov=3.471,sudv=0.542,marv=0.13
s1 329 330 3.502 ebov=1.535,sudv=0.219,marv=0.123
s1 330 331 3.493 ebov=0.594,sudv=0.131,marv=0.112
s1 331 332 3.458 ebov=0.159,sudv=0.107,marv=0.109
s1 332 333 2.087 ebov=2.584,sudv=0.138,marv=0.109
s1 333 334 0.514 ebov=0.936,sudv=0.48,marv=0.159
s1 334 335 0.591 ebov=0.588,sudv=0.425,marv=0.11
s1 335 336 1.11  ebov=0.794,sudv=0.271,marv=0.182
s1 336 337 0.363 ebov=0.228,sudv=0.152,marv=0.118
s1 337 338 1.277 ebov=0.396,sudv=0.163,marv=0.119
s1 338 339 2.421 ebov=0.27,sudv=0.124,marv=0.11
s1 339 340 0.298 ebov=0.233,sudv=0.173,marv=0.124
s1 340 341 3.2   ebov=1.631,sudv=0.137,marv=0.112
s1 341 342 3.122 ebov=0.16,sudv=0.126,marv=0.113
s1 342 343 2.863 ebov=0.42,sudv=0.329,marv=0.373
s1 343 344 0.206 ebov=0.119,sudv=0.119,marv=0.116
s1 344 345 3.237 ebov=2.046,sudv=0.21,marv=0.129
s1 345 346 0.347 ebov=0.278,sudv=0.143,marv=0.115
s1 346 347 3.097 ebov=3.097,sudv=2.78,marv=0.13
s1 347 348 0.491 ebov=0.479,sudv=0.16,marv=0.113
s1 348 349 0.97  ebov=0.523,sudv=0.353,marv=0.183
s1 349 350 3.186 ebov=3.207,sudv=2.274,marv=0.128
s1 350 351 1.518 ebov=0.608,sudv=0.173,marv=0.119
s1 351 352 0.336 ebov=0.425,sudv=0.24,marv=0.121
s1 352 353 3.23  ebov=0.134,sudv=0.129,marv=0.127
s1 353 354 3.193 ebov=0.213,sudv=0.188,marv=0.119
s1 354 355 1.291 ebov=0.595,sudv=0.262,marv=0.186
s1 355 356 0.641 ebov=0.277,sudv=0.16,marv=0.109
s1 356 357 0.359 ebov=0.373,sudv=0.167,marv=0.124
s1 357 358 3.179 ebov=0.226,sudv=3.159,marv=0.108
s1 358 359 0.3   ebov=0.369,sudv=0.134,marv=0.116
s1 359 360 1.154 ebov=1.331,sudv=0.125,marv=0.112
s1 360 361 2.613 ebov=0.916,sudv=0.476,marv=0.14
s1 361 362 0.386 ebov=0.207,sudv=0.128,marv=0.174
s1 362 363 0.3   ebov=0.261,sudv=0.126,marv=0.117
s1 363 364 1.011 ebov=0.253,sudv=0.166,marv=0.129
s1 364 365 0.356 ebov=0.155,sudv=0.149,marv=0.137
s1 365 366 1.136 ebov=0.159,sudv=0.121,marv=0.129
s1 366 367 3.237 ebov=1.702,sudv=0.649,marv=0.113
s1 367 368 3.056 ebov=0.749,sudv=0.706,marv=0.615
s1 368 369 0.23  ebov=0.156,sudv=0.138,marv=0.12
s1 369 370 0.588 ebov=0.303,sudv=0.195,marv=0.12
s1 370 371 1.116 ebov=0.455,sudv=0.241,marv=0.153
s1 371 372 1.195 ebov=0.512,sudv=1.327,marv=0.122
s1 372 373 0.939 ebov=1.359,sudv=0.186,marv=0.121
s1 373 374 0.639 ebov=0.636,sudv=0.288,marv=0.131
s1 374 375 0.421 ebov=0.338,sudv=0.123,marv=0.124
s1 375 376 2.489 ebov=0.188,sudv=0.126,marv=0.118
s1 376 377 0.772 ebov=0.512,sudv=0.23,marv=0.197
s1 377 378 3.041 ebov=1.367,sudv=1.135,marv=0.131
s1 378 379 0.533 ebov=0.21,sudv=0.164,marv=0.126
s1 379 380 0.233 ebov=0.145,sudv=0.136,marv=0.117
s1 380 381 0.893 ebov=0.959,sudv=0.122,marv=0.121
s1 381 382 0.996 ebov=1.104,sudv=0.943,marv=0.133
s1 382 383 0.944 ebov=1.182,sudv=0.826,marv=0.161
s1 383 384 1.289 ebov=0.265,sudv=0.142,marv=0.149
s1 384 385 0.82  ebov=0.182,sudv=0.18,marv=0.24
